lambda_adv,adv_c,val_acc,val_f1,val_FPR_gap,val_FNR_gap,val_DIfav,val_DIunfav
0.0,0.5,0.8606885508406725,0.8569078947368421,0.1150195420747117,0.1144340754893182,0.28979458665423846,2.0627410537721658
0.0,1.0,0.8606885508406725,0.8569078947368421,0.1150195420747117,0.1144340754893182,0.28979458665423846,2.0627410537721658
0.0,2.0,0.8606885508406725,0.8569078947368421,0.1150195420747117,0.1144340754893182,0.28979458665423846,2.0627410537721658
0.05,0.5,0.8542834267413931,0.8508196721311475,0.10496929081859864,0.10368138731785329,0.30843924821079644,2.010237145674282
0.05,1.0,0.8574859887910328,0.8540983606557377,0.10831937457063633,0.1067798270756194,0.30004267527819817,2.026604018868024
0.05,2.0,0.8566853482786229,0.8519437551695617,0.11669458395073054,0.12810150145711618,0.28656439227029756,2.098131218011781
0.1,0.5,0.8566853482786229,0.8524319868095631,0.07463242129935439,0.11589144438748475,0.3049680670186515,2.0442266617795686
0.1,1.0,0.8510808646917534,0.8470394736842105,0.10496929081859864,0.09748450780232103,0.32320557054647836,1.9966160833877578
0.1,2.0,0.8542834267413931,0.850328947368421,0.06960729567129786,0.10823719597378595,0.3148122772635492,2.01302868070501
0.25,0.5,0.8526821457165733,0.8484349258649094,0.10831937457063633,0.08217601097492346,0.33897169593898946,1.9733996173018535
0.25,1.0,0.8566853482786229,0.8524319868095631,0.11334450019869285,0.07762020231899079,0.3384231980583154,1.9781206689008768
0.25,2.0,0.8502802241793435,0.8460905349794239,0.06625721191926018,0.09210816371658857,0.3395219746569084,1.9687010469003663
0.5,0.5,0.8502802241793435,0.8460905349794239,0.06625721191926018,0.076799666889191,0.3564710679862857,1.9363192902917354
0.5,1.0,0.8566853482786229,0.851698425849213,0.07965754692741092,0.076799666889191,0.3518862311753671,1.9737360872354455
0.5,2.0,0.8494795836669335,0.8459016393442623,0.06123208629120365,0.06458960981955955,0.3679886272853877,1.8978104933102928
