==========================================
SLURM_JOB_ID = 8521664
SLURM_JOB_NODELIST = e22-10
TMPDIR = /tmp/SLURM_8521664
==========================================
==============================================
Array task: 2   Node: e22-10.hpc.usc.edu   Start: Sun May  3 14:54:57 PDT 2026
==============================================
Running lambda=0.05  adv_c=0.1,0.5,1.0,3.0,10.0  ratios=none,0.85,0.90,0.93,0.95,0.97,0.99 (ternary EO + projection)
==============================================
Train=17348 Val=3717 Test=3718  Tag=lam_0.05
Class distribution train: [2914, 1001, 13433]
Config: ternary EO adversary on softmax probs, projection=True, reweighting=FALSE, warmup=5
Grid: 5 cells x 7 ratios = 35 rows
  [ 1/5] lam=0.050 c=0.10 ratio= none  val_f1m=0.5376 val_FPRgap=0.1354  test_f1m=0.5482 test_FPRgap=0.1478
  [ 1/5] lam=0.050 c=0.10 ratio= 0.85  val_f1m=0.5133 val_FPRgap=0.0753  test_f1m=0.5175 test_FPRgap=0.0601
  [ 1/5] lam=0.050 c=0.10 ratio= 0.90  val_f1m=0.5133 val_FPRgap=0.0753  test_f1m=0.5175 test_FPRgap=0.0601
  [ 1/5] lam=0.050 c=0.10 ratio= 0.93  val_f1m=0.5133 val_FPRgap=0.0753  test_f1m=0.5175 test_FPRgap=0.0601
  [ 1/5] lam=0.050 c=0.10 ratio= 0.95  val_f1m=0.5133 val_FPRgap=0.0753  test_f1m=0.5175 test_FPRgap=0.0601
  [ 1/5] lam=0.050 c=0.10 ratio= 0.97  val_f1m=0.5308 val_FPRgap=0.0782  test_f1m=0.5318 test_FPRgap=0.0623
  [ 1/5] lam=0.050 c=0.10 ratio= 0.99  val_f1m=0.5860 val_FPRgap=0.0412  test_f1m=0.5782 test_FPRgap=0.0361
  [ 2/5] lam=0.050 c=0.50 ratio= none  val_f1m=0.5399 val_FPRgap=0.1278  test_f1m=0.5488 test_FPRgap=0.1558
  [ 2/5] lam=0.050 c=0.50 ratio= 0.85  val_f1m=0.4823 val_FPRgap=0.0447  test_f1m=0.5022 test_FPRgap=0.0539
  [ 2/5] lam=0.050 c=0.50 ratio= 0.90  val_f1m=0.4878 val_FPRgap=0.0447  test_f1m=0.5112 test_FPRgap=0.0545
  [ 2/5] lam=0.050 c=0.50 ratio= 0.93  val_f1m=0.5129 val_FPRgap=0.0482  test_f1m=0.5358 test_FPRgap=0.0579
  [ 2/5] lam=0.050 c=0.50 ratio= 0.95  val_f1m=0.5336 val_FPRgap=0.0742  test_f1m=0.5435 test_FPRgap=0.0522
  [ 2/5] lam=0.050 c=0.50 ratio= 0.97  val_f1m=0.5336 val_FPRgap=0.0742  test_f1m=0.5435 test_FPRgap=0.0522
  [ 2/5] lam=0.050 c=0.50 ratio= 0.99  val_f1m=0.5368 val_FPRgap=0.0815  test_f1m=0.5479 test_FPRgap=0.1005
  [ 3/5] lam=0.050 c=1.00 ratio= none  val_f1m=0.5480 val_FPRgap=0.1336  test_f1m=0.5453 test_FPRgap=0.1390
  [ 3/5] lam=0.050 c=1.00 ratio= 0.85  val_f1m=0.5003 val_FPRgap=0.0546  test_f1m=0.5112 test_FPRgap=0.0659
  [ 3/5] lam=0.050 c=1.00 ratio= 0.90  val_f1m=0.5003 val_FPRgap=0.0546  test_f1m=0.5112 test_FPRgap=0.0659
  [ 3/5] lam=0.050 c=1.00 ratio= 0.93  val_f1m=0.5216 val_FPRgap=0.0569  test_f1m=0.5333 test_FPRgap=0.0685
  [ 3/5] lam=0.050 c=1.00 ratio= 0.95  val_f1m=0.5216 val_FPRgap=0.0569  test_f1m=0.5333 test_FPRgap=0.0685
  [ 3/5] lam=0.050 c=1.00 ratio= 0.97  val_f1m=0.5456 val_FPRgap=0.0780  test_f1m=0.5400 test_FPRgap=0.0535
  [ 3/5] lam=0.050 c=1.00 ratio= 0.99  val_f1m=0.5456 val_FPRgap=0.0780  test_f1m=0.5400 test_FPRgap=0.0535
