==========================================
SLURM_JOB_ID = 8158443
SLURM_JOB_NODELIST = d11-45
TMPDIR = /tmp/SLURM_8158443
==========================================
Saved full summary: data/results/adv_xgb_largegrid/grid_summary.csv (50 cells)

=== FULL GRID (sorted by test_score, lower = better) ===
 lambda_adv  adv_c  val_f1  val_FPR_gap  val_mean_FPR  val_score  test_f1  test_AAE_FPR  test_SAE_FPR  test_AAE_FNR  test_SAE_FNR  test_FPR_gap  test_FNR_gap  test_mean_FPR  test_mean_FNR  test_score
      0.100    1.0  0.8560       0.1150        0.1647    -0.0393   0.8278        0.3333        0.1421        0.1075        0.2215        0.1912        0.1139         0.2377         0.1645      0.1685
      0.600    1.0  0.8486       0.0426        0.1268    -0.1232   0.8412        0.3333        0.1371        0.0914        0.2009        0.1962        0.1095         0.2352         0.1462      0.1742
      0.050    0.5  0.8519       0.0393        0.1285    -0.1348   0.8304        0.3333        0.1522        0.1022        0.2078        0.1812        0.1056         0.2428         0.1550      0.1801
      0.025    0.1  0.8522       0.0763        0.1470    -0.1049   0.8294        0.3704        0.1388        0.1183        0.2146        0.2316        0.0963         0.2546         0.1664      0.2193
      0.025    0.5  0.8522       0.0763        0.1470    -0.1049   0.8294        0.3704        0.1388        0.1183        0.2146        0.2316        0.0963         0.2546         0.1664      0.2193
      0.050    0.1  0.8503       0.0763        0.1470    -0.0994   0.8317        0.3704        0.1355        0.1129        0.2146        0.2349        0.1017         0.2529         0.1638      0.2210
      0.000    0.1  0.8536       0.0797        0.1454    -0.1070   0.8283        0.3704        0.1438        0.1075        0.2169        0.2266        0.1094         0.2571         0.1622      0.2343
      0.000    3.0  0.8536       0.0797        0.1454    -0.1070   0.8283        0.3704        0.1438        0.1075        0.2169        0.2266        0.1094         0.2571         0.1622      0.2343
      0.000   10.0  0.8536       0.0797        0.1454    -0.1070   0.8283        0.3704        0.1438        0.1075        0.2169        0.2266        0.1094         0.2571         0.1622      0.2343
      0.000    0.5  0.8536       0.0797        0.1454    -0.1070   0.8283        0.3704        0.1438        0.1075        0.2169        0.2266        0.1094         0.2571         0.1622      0.2343
      0.000    1.0  0.8536       0.0797        0.1454    -0.1070   0.8283        0.3704        0.1438        0.1075        0.2169        0.2266        0.1094         0.2571         0.1622      0.2343
      0.400    0.1  0.8470       0.1117        0.1664    -0.0377   0.8339        0.3704        0.1371        0.0968        0.2146        0.2332        0.1178         0.2537         0.1557      0.2373
      1.000   10.0  0.8482       0.0326        0.1319    -0.1346   0.8345        0.3704        0.1472        0.1022        0.2009        0.2232        0.0988         0.2588         0.1515      0.2391
