==========================================
SLURM_JOB_ID = 8158628
SLURM_JOB_NODELIST = b18-16
TMPDIR = /tmp/SLURM_8158628
==========================================
==============================================
Array task: 6   Node: b18-16.hpc.usc.edu   Start: Sat Apr 18 11:48:39 PDT 2026
==============================================
Running lambda=0.4  adv_c=0.1,0.5,1.0,3.0,10.0  ratios=none,0.85,0.90,0.93,0.95,0.97,0.99
==============================================
Train=5828 (AAE=993, SAE=4835) Val=1249 Test=1249
Tag: lam_0.4
Config: leaf_adv=True, reweighting=FALSE, threshold_tuning=PER-GROUP, post_processing=NONE
Grid: 5 cells x 7 ratios = 35 rows  lambda=[0.4]  adv_c=[0.1, 0.5, 1.0, 3.0, 10.0]  ratios=[None, 0.85, 0.9, 0.93, 0.95, 0.97, 0.99]
  [ 1/5] lam=0.400 c=0.10 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8470 val_FPR_gap=0.1117  test_f1=0.8339 test_FPR_gap=0.2332
  [ 1/5] lam=0.400 c=0.10 ratio= 0.85  t_aae=0.851 t_sae=0.606  val_f1=0.7964 val_FPR_gap=0.0004  test_f1=0.8028 test_FPR_gap=0.0162
  [ 1/5] lam=0.400 c=0.10 ratio= 0.90  t_aae=0.851 t_sae=0.606  val_f1=0.7964 val_FPR_gap=0.0004  test_f1=0.8028 test_FPR_gap=0.0162
  [ 1/5] lam=0.400 c=0.10 ratio= 0.93  t_aae=0.851 t_sae=0.606  val_f1=0.7964 val_FPR_gap=0.0004  test_f1=0.8028 test_FPR_gap=0.0162
  [ 1/5] lam=0.400 c=0.10 ratio= 0.95  t_aae=0.443 t_sae=0.247  val_f1=0.8267 val_FPR_gap=0.0015  test_f1=0.8028 test_FPR_gap=0.1590
  [ 1/5] lam=0.400 c=0.10 ratio= 0.97  t_aae=0.443 t_sae=0.247  val_f1=0.8267 val_FPR_gap=0.0015  test_f1=0.8028 test_FPR_gap=0.1590
  [ 1/5] lam=0.400 c=0.10 ratio= 0.99  t_aae=0.573 t_sae=0.427  val_f1=0.8433 val_FPR_gap=0.0024  test_f1=0.8196 test_FPR_gap=0.1444
  [ 2/5] lam=0.400 c=0.50 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8484 val_FPR_gap=0.0309  test_f1=0.8301 test_FPR_gap=0.3764
  [ 2/5] lam=0.400 c=0.50 ratio= 0.85  t_aae=0.884 t_sae=0.720  val_f1=0.7490 val_FPR_gap=0.0002  test_f1=0.7656 test_FPR_gap=0.0232
  [ 2/5] lam=0.400 c=0.50 ratio= 0.90  t_aae=0.851 t_sae=0.590  val_f1=0.7986 val_FPR_gap=0.0004  test_f1=0.8042 test_FPR_gap=0.0329
  [ 2/5] lam=0.400 c=0.50 ratio= 0.93  t_aae=0.851 t_sae=0.590  val_f1=0.7986 val_FPR_gap=0.0004  test_f1=0.8042 test_FPR_gap=0.0329
  [ 2/5] lam=0.400 c=0.50 ratio= 0.95  t_aae=0.476 t_sae=0.427  val_f1=0.8537 val_FPR_gap=0.0007  test_f1=0.8195 test_FPR_gap=0.3499
  [ 2/5] lam=0.400 c=0.50 ratio= 0.97  t_aae=0.476 t_sae=0.427  val_f1=0.8537 val_FPR_gap=0.0007  test_f1=0.8195 test_FPR_gap=0.3499
  [ 2/5] lam=0.400 c=0.50 ratio= 0.99  t_aae=0.476 t_sae=0.427  val_f1=0.8537 val_FPR_gap=0.0007  test_f1=0.8195 test_FPR_gap=0.3499
  [ 3/5] lam=0.400 c=1.00 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8500 val_FPR_gap=0.0780  test_f1=0.8317 test_FPR_gap=0.2619
  [ 3/5] lam=0.400 c=1.00 ratio= 0.85  t_aae=0.900 t_sae=0.753  val_f1=0.7257 val_FPR_gap=0.0002  test_f1=0.7526 test_FPR_gap=0.0181
  [ 3/5] lam=0.400 c=1.00 ratio= 0.90  t_aae=0.345 t_sae=0.296  val_f1=0.8373 val_FPR_gap=0.0013  test_f1=0.8152 test_FPR_gap=0.3236
  [ 3/5] lam=0.400 c=1.00 ratio= 0.93  t_aae=0.345 t_sae=0.296  val_f1=0.8373 val_FPR_gap=0.0013  test_f1=0.8152 test_FPR_gap=0.3236
  [ 3/5] lam=0.400 c=1.00 ratio= 0.95  t_aae=0.345 t_sae=0.296  val_f1=0.8373 val_FPR_gap=0.0013  test_f1=0.8152 test_FPR_gap=0.3236
  [ 3/5] lam=0.400 c=1.00 ratio= 0.97  t_aae=0.345 t_sae=0.296  val_f1=0.8373 val_FPR_gap=0.0013  test_f1=0.8152 test_FPR_gap=0.3236
  [ 3/5] lam=0.400 c=1.00 ratio= 0.99  t_aae=0.590 t_sae=0.443  val_f1=0.8452 val_FPR_gap=0.0024  test_f1=0.8238 test_FPR_gap=0.1527
  [ 4/5] lam=0.400 c=3.00 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8522 val_FPR_gap=0.0763  test_f1=0.8283 test_FPR_gap=0.2653
