==========================================
SLURM_JOB_ID = 8158620
SLURM_JOB_NODELIST = e21-06
TMPDIR = /tmp/SLURM_8158620
==========================================
==============================================
Array task: 9   Node: e21-06.hpc.usc.edu   Start: Sat Apr 18 11:51:45 PDT 2026
==============================================
Running lambda=1.5  adv_c=0.1,0.5,1.0,3.0,10.0  ratios=none,0.85,0.90,0.93,0.95,0.97,0.99
==============================================
Train=5828 (AAE=993, SAE=4835) Val=1249 Test=1249
Tag: lam_1.5
Config: leaf_adv=True, reweighting=FALSE, threshold_tuning=PER-GROUP, post_processing=NONE
Grid: 5 cells x 7 ratios = 35 rows  lambda=[1.5]  adv_c=[0.1, 0.5, 1.0, 3.0, 10.0]  ratios=[None, 0.85, 0.9, 0.93, 0.95, 0.97, 0.99]
  [ 1/5] lam=1.500 c=0.10 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8515 val_FPR_gap=0.0746  test_f1=0.8243 test_FPR_gap=0.3327
  [ 1/5] lam=1.500 c=0.10 ratio= 0.85  t_aae=0.900 t_sae=0.737  val_f1=0.7417 val_FPR_gap=0.0002  test_f1=0.7538 test_FPR_gap=0.0509
  [ 1/5] lam=1.500 c=0.10 ratio= 0.90  t_aae=0.835 t_sae=0.590  val_f1=0.8053 val_FPR_gap=0.0013  test_f1=0.7930 test_FPR_gap=0.0478
  [ 1/5] lam=1.500 c=0.10 ratio= 0.93  t_aae=0.835 t_sae=0.590  val_f1=0.8053 val_FPR_gap=0.0013  test_f1=0.7930 test_FPR_gap=0.0478
  [ 1/5] lam=1.500 c=0.10 ratio= 0.95  t_aae=0.573 t_sae=0.427  val_f1=0.8487 val_FPR_gap=0.0026  test_f1=0.8132 test_FPR_gap=0.1327
  [ 1/5] lam=1.500 c=0.10 ratio= 0.97  t_aae=0.573 t_sae=0.427  val_f1=0.8487 val_FPR_gap=0.0026  test_f1=0.8132 test_FPR_gap=0.1327
  [ 1/5] lam=1.500 c=0.10 ratio= 0.99  t_aae=0.573 t_sae=0.427  val_f1=0.8487 val_FPR_gap=0.0026  test_f1=0.8132 test_FPR_gap=0.1327
  [ 2/5] lam=1.500 c=0.50 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8461 val_FPR_gap=0.0663  test_f1=0.8299 test_FPR_gap=0.3444
  [ 2/5] lam=1.500 c=0.50 ratio= 0.85  t_aae=0.884 t_sae=0.753  val_f1=0.7381 val_FPR_gap=0.0002  test_f1=0.7450 test_FPR_gap=0.0165
  [ 2/5] lam=1.500 c=0.50 ratio= 0.90  t_aae=0.378 t_sae=0.345  val_f1=0.8400 val_FPR_gap=0.0022  test_f1=0.8219 test_FPR_gap=0.4629
  [ 2/5] lam=1.500 c=0.50 ratio= 0.93  t_aae=0.378 t_sae=0.345  val_f1=0.8400 val_FPR_gap=0.0022  test_f1=0.8219 test_FPR_gap=0.4629
  [ 2/5] lam=1.500 c=0.50 ratio= 0.95  t_aae=0.378 t_sae=0.345  val_f1=0.8400 val_FPR_gap=0.0022  test_f1=0.8219 test_FPR_gap=0.4629
  [ 2/5] lam=1.500 c=0.50 ratio= 0.97  t_aae=0.378 t_sae=0.345  val_f1=0.8400 val_FPR_gap=0.0022  test_f1=0.8219 test_FPR_gap=0.4629
  [ 2/5] lam=1.500 c=0.50 ratio= 0.99  t_aae=0.378 t_sae=0.345  val_f1=0.8400 val_FPR_gap=0.0022  test_f1=0.8219 test_FPR_gap=0.4629
  [ 3/5] lam=1.500 c=1.00 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8434 val_FPR_gap=0.1487  test_f1=0.8275 test_FPR_gap=0.2973
  [ 3/5] lam=1.500 c=1.00 ratio= 0.85  t_aae=0.312 t_sae=0.182  val_f1=0.8041 val_FPR_gap=0.0004  test_f1=0.7842 test_FPR_gap=0.1227
  [ 3/5] lam=1.500 c=1.00 ratio= 0.90  t_aae=0.312 t_sae=0.182  val_f1=0.8041 val_FPR_gap=0.0004  test_f1=0.7842 test_FPR_gap=0.1227
  [ 3/5] lam=1.500 c=1.00 ratio= 0.93  t_aae=0.312 t_sae=0.182  val_f1=0.8041 val_FPR_gap=0.0004  test_f1=0.7842 test_FPR_gap=0.1227
  [ 3/5] lam=1.500 c=1.00 ratio= 0.95  t_aae=0.312 t_sae=0.182  val_f1=0.8041 val_FPR_gap=0.0004  test_f1=0.7842 test_FPR_gap=0.1227
