tag,enable_1_ceo,enable_2_platt,enable_3_reductions,enable_4_roc,accuracy,f1,AAE_FPR,AAE_FNR,AAE_TPR,AAE_acc,AAE_pos_rate,SAE_FPR,SAE_FNR,SAE_TPR,SAE_acc,SAE_pos_rate,FPR_gap,FNR_gap,TPR_gap,DIfav,DIunfav,_score
T1_T2_T3_T4,True,True,True,True,0.7862289831865492,0.8074981975486661,0.3333333332098765,0.08602150537171926,0.9139784945745173,0.8826291079812206,0.8403755868544601,0.32441471571363856,0.10958904109338838,0.8904109588837805,0.7664092664092664,0.5637065637065637,0.008918617496237957,0.023567535721669114,0.023567535690736774,0.365864796965531,1.4908032406446903,-0.371262945556426
T2_T3_T4,False,True,True,True,0.7862289831865492,0.8074981975486661,0.3333333332098765,0.08602150537171926,0.9139784945745173,0.8826291079812206,0.8403755868544601,0.32441471571363856,0.10958904109338838,0.8904109588837805,0.7664092664092664,0.5637065637065637,0.008918617496237957,0.023567535721669114,0.023567535690736774,0.365864796965531,1.4908032406446903,-0.371262945556426
T1_T4,True,False,False,True,0.8134507606084868,0.8209069946195234,0.2962962961865569,0.14516129031477626,0.8548387096314602,0.8356807511737089,0.784037558685446,0.22575250835742888,0.14383561643507226,0.8561643835420967,0.8088803088803089,0.4922779922779923,0.07054378782912801,0.0013256738797040035,0.0013256739106364268,0.4253556745155763,1.5926723417608561,-0.3385840356009297
T4,False,False,False,True,0.8134507606084868,0.8209069946195234,0.2962962961865569,0.14516129031477626,0.8548387096314602,0.8356807511737089,0.784037558685446,0.22575250835742888,0.14383561643507226,0.8561643835420967,0.8088803088803089,0.4922779922779923,0.07054378782912801,0.0013256738797040035,0.0013256739106364268,0.4253556745155763,1.5926723417608561,-0.3385840356009297
T1_T3_T4,True,False,True,True,0.7958366693354684,0.8095593726661687,0.3333333332098765,0.118279569886114,0.8817204300601226,0.8544600938967136,0.812206572769953,0.2742474916342099,0.13698630136673548,0.8630136986104334,0.7837837837837838,0.5231660231660231,0.0590858415756666,0.018706731480621477,0.01870673144968915,0.39383398083038185,1.5524833824832904,-0.3269871132767963
T3_T4,False,False,True,True,0.7958366693354684,0.8095593726661687,0.3333333332098765,0.118279569886114,0.8817204300601226,0.8544600938967136,0.812206572769953,0.2742474916342099,0.13698630136673548,0.8630136986104334,0.7837837837837838,0.5231660231660231,0.0590858415756666,0.018706731480621477,0.01870673144968915,0.39383398083038185,1.5524833824832904,-0.3269871132767963
T1_T2_T4,True,True,False,True,0.8014411529223379,0.8208092485549133,0.5185185183264746,0.08602150537171926,0.9139784945745173,0.8591549295774648,0.863849765258216,0.29765886287127663,0.09132420091115698,0.9086757990660119,0.7895752895752896,0.555984555984556,0.22085965545519792,0.005302695539437713,0.005302695508505373,0.30663400003426083,1.5537297581785963,-0.18424227328282103
T2_T4,False,True,False,True,0.8014411529223379,0.8208092485549133,0.5185185183264746,0.08602150537171926,0.9139784945745173,0.8591549295774648,0.863849765258216,0.29765886287127663,0.09132420091115698,0.9086757990660119,0.7895752895752896,0.555984555984556,0.22085965545519792,0.005302695539437713,0.005302695508505373,0.30663400003426083,1.5537297581785963,-0.18424227328282103
T1_T3,True,False,True,False,0.8286629303442754,0.8293460925039873,0.37037037023319613,0.07526881720025436,0.9247311827459822,0.8873239436619719,0.8544600938967136,0.16722408026476213,0.2054794520501032,0.7945205479270657,0.8166023166023166,0.43243243243243246,0.203146289968434,0.13021063484984885,0.13021063481891648,0.2564274490925447,1.9759389214425627,-0.08131612143371081
T3,False,False,True,False,0.8286629303442754,0.8293460925039873,0.37037037023319613,0.07526881720025436,0.9247311827459822,0.8873239436619719,0.8544600938967136,0.16722408026476213,0.2054794520501032,0.7945205479270657,0.8166023166023166,0.43243243243243246,0.203146289968434,0.13021063484984885,0.13021063481891648,0.2564274490925447,1.9759389214425627,-0.08131612143371081
T1,True,False,False,False,0.8310648518815053,0.8291497975708502,0.5185185183264746,0.1075268817146491,0.8924731182315875,0.8403755868544601,0.8450704225352113,0.1421404682250478,0.21004566209566106,0.7899543378815079,0.8291505791505791,0.416023166023166,0.3763780501014268,0.10251878038101196,0.10251878035007955,0.2653008917438081,2.031306117638393,0.06432193169701367
